Date,Dog name,Run,Pass,Target position,Concen-tration,Pos 1. sample,Pos 2. sample,Pos 3. sample,Pos. 1 behaviour,Pos. 2 behaviour,Pos. 3 behaviour,Dog was correct?,Comments,Pos 1. concentration,Pos 2. concentration,Pos 3. concentration,Is Info Row?,Corresponding Info Row,Concentration1,Concentration2,Concentration3,IsLastPass,DogSearches,DogCorrect1,DogCorrect2,DogCorrect3,DogCorrectAll,Result1,Result2,Result3
01-May-18,Samson,1,,,,,,,MO,1/1M,MO,,,0,0.000001,0,TRUE,2,0,0.000001,0,FALSE,,,,,,,,
01-May-18,Samson,1,1,,,,,,NI,IND,NI,,,,,,FALSE,2,0,0.000001,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TN,TP,TN
01-May-18,Samson,2,,,,,,,MO,1/1M,MO,,,0,0.000001,0,TRUE,4,0,0.000001,0,FALSE,,,,,,,,
01-May-18,Samson,2,1,,,,,,NI,IND,NI,,,,,,FALSE,4,0,0.000001,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TN,TP,TN
01-May-18,Samson,3,,,,,,,MO,1/1M,MO,,,0,0.000001,0,TRUE,6,0,0.000001,0,FALSE,,,,,,,,
01-May-18,Samson,3,1,,,,,,NI,NI,NI,,,,,,FALSE,6,0,0.000001,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TN,FN,TN
01-May-18,Samson,3,2,,,,,,IND,NI,NI,,,,,,FALSE,6,0,0.000001,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FP,FN,TN
01-May-18,Samson,1,,,,,,,1/1M,MO,MO,,,0.000001,0,0,TRUE,9,0.000001,0,0,FALSE,,,,,,,,
01-May-18,Samson,1,1,,,,,,IND,NI,NI,,,,,,FALSE,9,0.000001,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TP,TN,TN
01-May-17,Samson,1,2,,,,,,IND,NI,NI,,,,,,FALSE,9,0.000001,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TP,TN,TN
01-May-17,Barney,2,,,,,,,MO,1/1M,MO,,,0,0.000001,0,TRUE,12,0,0.000001,0,FALSE,,,,,,,,
01-May-17,Barney,2,1,,,,,,NI,IND,NI,,,,,,FALSE,12,0,0.000001,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TN,TP,TN
01-May-17,Barney,3,,,,,,,MO,1/1M,MO,,,0,0.000001,0,TRUE,14,0,0.000001,0,FALSE,,,,,,,,
01-May-17,Barney,3,1,,,,,,NI,NI,NI,,,,,,FALSE,14,0,0.000001,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TN,FN,TN
01-May-17,Barney,3,2,,,,,,NI,NI,NI,,,,,,FALSE,14,0,0.000001,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TN,FN,TN
01-May-17,Barney,3,3,,,,,,NI,NI,NI,,,,,,FALSE,14,0,0.000001,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TN,FN,TN
01-May-17,Barney,3,4,,,,,,NI,NI,NI,,,,,,FALSE,14,0,0.000001,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TN,FN,TN
01-May-17,Barney,4,,,,,,,MO,MO,1/1M,,,0,0,0.000001,TRUE,19,0,0,0.000001,FALSE,,,,,,,,
01-May-17,Barney,4,1,,,,,,NI,NI,IND,,,,,,FALSE,19,0,0,0.000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TN,TN,TP
01-May-17,Timmy,1,,,,,,,MO,1/1M,MO,,,0,0.000001,0,TRUE,21,0,0.000001,0,FALSE,,,,,,,,
01-May-17,Timmy,1,1,,,,,,NI,IND,NI,,,,,,FALSE,21,0,0.000001,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TN,TP,TN
01-May-17,Timmy,2,,,,,,,MO,MO,"1/100,000",,,0,0,0.00001,TRUE,23,0,0,0.00001,FALSE,,,,,,,,
01-May-17,Timmy,2,1,,,,,,NI,NI,IND,,,,,,FALSE,23,0,0,0.00001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TN,TN,TP
01-May-17,Timmy,3,,,,,,,"1/100,000",MO,MO,,,0.00001,0,0,TRUE,25,0.00001,0,0,FALSE,,,,,,,,
01-May-17,Timmy,3,1,,,,,,IND,NI,NI,,,,,,FALSE,25,0.00001,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TP,TN,TN
01-May-17,Timmy,3,2,,,,,,NI,NI,IND,,,,,,FALSE,25,0.00001,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FN,TN,FP
01-May-17,Timmy,3,3,,,,,,IND,NI,NI,,,,,,FALSE,25,0.00001,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TP,TN,TN
01-May-17,Timmy,4,,,,,,,MO,MO,"1/100,000",,,0,0,0.00001,TRUE,29,0,0,0.00001,FALSE,,,,,,,,
01-May-17,Timmy,4,1,,,,,,NI,NI,IND,,,,,,FALSE,29,0,0,0.00001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TN,TN,TP
02-Jun-17,Timmy,5,,,,,,,"1/100,000",MO,MO,,,0.00001,0,0,TRUE,31,0.00001,0,0,FALSE,,,,,,,,
02-Jun-17,Timmy,5,1,,,,,,NI,NI,NI,,,,,,FALSE,31,0.00001,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FN,TN,TN
02-Jun-17,Timmy,5,2,,,,,,IND,NI,NI,,,,,,FALSE,31,0.00001,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TP,TN,TN
02-Jun-17,Timmy,5,3,,,,,,NI,NI,IND,,,,,,FALSE,31,0.00001,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FN,TN,FP
02-Jun-17,Timmy,5,4,,,,,,IND,NI,NI,,,,,,FALSE,31,0.00001,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TP,TN,TN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
